Test,Domain,Level,Prompt,CodX Score,CodX Time (s),CodX Cost ($),Competitor,Competitor Score,Competitor Time (s),Competitor Cost ($),Winner,Date,Notes
Q13,review,1,Review a SQL stored procedure with hardcoded values and,0.9063,17.24,0.006434,GPT-4o,0.8813,16.65,0.007953,CodX,2026-06-18,CodX provided a more concise and directly related example specific to the initial procedure.
Q14,review,2,Analyze a React component that fetches data directly in,0.9875,15.97,0.006321,GPT-4o,0.8625,6.69,0.00886,CodX,2026-06-18,CodX provided a more comprehensive and structured solution with better handling of edge cases and clarity in real-world application.
Q15,review,2,Review a bash script that pipes commands without checki,0.8500,13.32,0.006419,GPT-4o,0.8500,6.48,0.004397,tie,2026-06-18,CodX is detailed in function encapsulation while GPT-4o uses robust error handling with traps.
Q16,review,2,Identify problems in a Java class with public mutable f,0.7750,15.97,0.006401,GPT-4o,0.9500,6.32,0.005025,GPT-4o,2026-06-18,"GPT-4o provided a comprehensive list of issues with detailed explanations, covering more aspects than CodX."
Q17,review,2,Review a Python API handler that returns stack traces d,0.9000,16.04,0.005910,GPT-4o,0.8125,8.14,0.006342,CodX,2026-06-18,CodX provides a more complete implementation with practical error handling using decorators.
Q18,review,3,Analyze a Node.js function that opens database connecti,1.0000,15.86,0.004126,GPT-4o,0.9250,9.31,0.00874,CodX,2026-06-18,"CodX provided a cleaner, more idiomatic solution with detailed explanations and best practices."
Q19,review,3,Review a TypeScript function that uses type assertions ,0.6500,16.37,0.004828,GPT-4o,0.7750,9.81,0.006285,GPT-4o,2026-06-18,"GPT-4o provided a comprehensive checklist for avoiding type assertions, which enhances overall understanding."
Q20,review,3,Identify issues in a Go function that ignores all error,1.0000,15.77,0.000410,GPT-4o,0.8750,9.2,0.00564,CodX,2026-06-18,CodX provided a complete code example with thorough error handling improvements and clear explanations.
Q21,debug,1,Fix a Python function that returns incorrect results wh,0.9500,13.07,0.001995,GPT-4o,0.8000,4.35,0.004278,CodX,2026-06-18,"CodX provides a concrete implementation with thorough documentation and test cases, while GPT-4o offers general examples without full clarity."
Q22,debug,1,Debug a JavaScript promise chain that swallows errors s,0,14.39,0.007833,GPT-4o,0,5.79,0.005948,error,2026-06-18,scoring error
Q23,debug,1,Fix a SQL query that returns no results due to incorrec,1.0000,8,0.002597,GPT-4o,0.9375,3.84,0.002368,CodX,2026-06-18,CodX provided a more comprehensive explanation with additional context and examples.
Q24,debug,2,Debug a React component that causes infinite re-renders,0.9500,15.95,0.004300,GPT-4o,0.9500,7.42,0.006498,tie,2026-06-18,"Both answers correctly identified the issue and provided clear solutions, but CodX had slightly less detail on dependencies."
Q25,debug,2,Fix a bash script that fails when filenames contain spa,0.9000,14.5,0.010220,GPT-4o,0.8500,7.54,0.004355,CodX,2026-06-18,CodX provided a more comprehensive explanation with multiple methods and additional recommendations.
Q26,debug,2,Debug a Java program that throws ConcurrentModification,0.9000,16,0.006967,GPT-4o,0.9625,7.77,0.00947,GPT-4o,2026-06-18,GPT-4o provided a more comprehensive set of solutions with detailed explanations and considerations for thread safety and performance.
Q27,debug,2,Fix a Python recursive function that hits maximum recur,0.9125,15.9,0.007312,GPT-4o,0.9000,7.75,0.005492,CodX,2026-06-18,"CodX provides a direct iterative solution, while GPT-4o offers multiple strategies but lacks specific context."
Q28,debug,3,Debug a Node.js server that leaks memory because event ,0.9000,15.93,0.000540,GPT-4o,0.8375,9.12,0.00688,CodX,2026-06-18,CodX provided a more complete solution with practical examples and best practices for preventing memory leaks.
Q29,debug,3,Fix a Go function that produces a data race when multip,0.9500,15.92,0.006484,GPT-4o,0.9000,7.95,0.006795,CodX,2026-06-18,CodX uses sync.RWMutex for better read performance and provides testing example.
Q30,debug,3,Debug a TypeScript function that returns undefined inst,0.8375,15.89,0.005853,GPT-4o,0.9000,5.58,0.006418,GPT-4o,2026-06-18,GPT-4o provided a more comprehensive explanation and covered additional error handling.
Q31,system,1,Audit a Docker Compose file with hardcoded passwords an,0.8625,15.72,0.000439,GPT-4o,0.9375,8.3,0.007295,GPT-4o,2026-06-18,GPT-4o provided more comprehensive solutions including Docker Secrets and network isolation.
Q32,system,1,Analyze a PostgreSQL configuration file and identify se,0.7625,15.72,0.001114,GPT-4o,0.8000,8.52,0.008118,GPT-4o,2026-06-18,"GPT-4o provided a broader discussion and context-specific recommendations, enhancing clarity and completeness."
Q33,system,2,Audit a Kubernetes deployment with no liveness/readines,0.9000,15.89,0.006709,GPT-4o,0.8250,15.99,0.006442,CodX,2026-06-18,CodX demonstrates a more precise configuration example with clear Kubernetes YAML enhancements.
Q34,system,2,Analyze a CI/CD pipeline that runs all tests sequential,0.7000,15.71,0.006438,GPT-4o,0.8750,18.6,0.006812,GPT-4o,2026-06-18,GPT-4o provided a thorough analysis and clear optimization strategies without straying into non-essential coding specifics.
Q35,system,2,Audit a microservice that logs sensitive user data incl,0.7875,15.84,0.000338,GPT-4o,0.8125,5.92,0.006068,GPT-4o,2026-06-18,GPT-4o provides a slightly more comprehensive and detailed audit approach.
Q36,system,2,Analyze a Redis configuration with no persistence; no m,0.8750,15.68,0.005075,GPT-4o,0.9375,8.9,0.00604,GPT-4o,2026-06-18,"GPT-4o provided a more thorough analysis and addressed security with added TLS advice, enhancing robustness."
Q37,system,3,Audit a REST API with no versioning; no pagination on l,0.7750,,0082,GPT-4o,0.8500,12.38,0.005938,GPT-4o,2026-06-18,GPT-4o provided a more comprehensive and structured audit approach while CodX focused mainly on implementation.
Q38,system,3,Analyze a cron job that runs as root and has no error l,0.8250,15.92,0.000550,GPT-4o,0.8625,,0055,GPT-4o,2026-06-18,GPT-4o provides a broader analysis and practical guidance for security and logging improvements.
Q39,system,3,Audit a load balancer configuration with no health chec,0.7000,13.08,0.006733,GPT-4o,0.8625,21.4,0.006345,GPT-4o,2026-06-18,"GPT-4o provides a comprehensive strategic overview and practical recommendations without delving into partial implementation, which CodX lacks."
Q40,system,3,Analyze a message queue configuration with no dead lett,0.8875,15.91,0.001632,GPT-4o,0.9250,10.21,0.005485,GPT-4o,2026-06-18,"GPT-4o provides a comprehensive analysis of implications, while CodX offers correct code but less contextual insight."
Q41,security,1,Identify a command injection vulnerability in a Python ,1.0000,15.96,0.001470,GPT-4o,0.8750,13.49,0.004692,CodX,2026-06-18,CodX provides a more comprehensive explanation and better clarity in remediation strategy.
Q42,security,1,Detect an open redirect vulnerability in a login page t,0.8937,15.89,0.006485,GPT-4o,0.8000,6.54,0.00532,CodX,2026-06-18,"CodX provides detailed code examples and a concrete solution, making it more practical."
Q43,security,2,Audit a GraphQL API with no query depth limiting and no,0.8750,16.06,0.004978,GPT-4o,0.8500,10.66,0.007118,CodX,2026-06-18,"CodX provides a practical code example implementing solutions, enhancing its correctness and quality scores."
Q44,security,2,Identify insecure direct object reference in a file dow,0.9500,15.96,0.001583,GPT-4o,0.9000,5.89,0.006582,CodX,2026-06-18,CodX provided a more comprehensive solution with detailed security measures and example code.
Q45,security,2,Detect an XML External Entity (XXE) injection in a Java,0.7000,15.73,0.001115,GPT-4o,0.8750,16.14,0.00831,GPT-4o,2026-06-18,"GPT-4o provides a thorough discussion of the issue with clear steps, whereas CodX offers a less polished and less comprehensive solution."
Q46,security,2,Audit a mobile API that transmits authentication tokens,0.7750,15.87,0.001746,GPT-4o,0.7875,14.14,0.00586,GPT-4o,2026-06-18,GPT-4o provided a more comprehensive and methodical audit process with proactive security recommendations.
Q47,security,3,Identify a race condition in a file upload handler that,0.8875,15.7,0.000476,GPT-4o,0.8000,6.26,0.005025,CodX,2026-06-18,"CodX provided a more detailed solution with code that directly mitigates the race condition, including security-focused explanations."
Q48,security,3,Detect improper certificate validation in a Python HTTP,0.8750,16.02,0.004220,GPT-4o,0.7250,6.66,0.00465,CodX,2026-06-18,"CodX provides a comprehensive code solution using AST for detection, while GPT-4o focuses more on manual detection and solution."
Q49,security,3,Audit a password reset flow that uses sequential numeri,0.8500,16.7,0.001114,GPT-4o,0.8000,17.41,0.00647,CodX,2026-06-18,CodX provides a more detailed implementation and handling of cryptographic tokens.
Q50,security,4,Identify a Server-Side Template Injection (SSTI) vulner,0.8875,15.78,0.000354,GPT-4o,0.8875,5.72,0.004225,tie,2026-06-18,"CodX provided additional recommendations, but both answers were technically sound with minor clarity differences."
